cellID	center_col	center_row	time	mother
1	289.93	356.35	1	0
4	287.13	277.72	1	0
1	287.92	354.74	2	0
4	287.54	279.13	2	0
1	287.72	348.73	3	0
4	285.93	275.11	3	0
1	287.52	360.16	4	0
4	282.71	289.78	4	0
1	290.33	352.54	5	0
4	281.71	287.57	5	0
1	288.93	359.76	6	0
4	281.11	291.99	6	0
1	289.13	356.35	7	0
4	280.7	294.81	7	0
1	288.73	354.94	8	0
4	274.47	295.41	8	0
1	288.53	357.55	9	0
4	269.25	299.23	9	0
2	285.12	352.54	10	1
3	290.73	369.99	10	1
4	267.44	302.24	10	0
2	278.3	346.72	11	1
3	288.45	373.89	11	1
4	264.43	307.47	11	0
2	276.89	343.11	12	1
3	290.06	387.53	12	1
4	265.03	313.2	12	0
2	273.48	339.9	13	1
3	293.8	397.96	13	1
4	259.21	317.09	13	0
2	270.68	340.3	14	1
3	293.27	409.73	14	1
4	256.94	326.47	14	0
2	270.68	333.88	15	1
3	297.01	408.13	15	1
4	254.68	323.24	15	0
5	425.95	510.07	15	0
2	271.24	324.84	16	1
3	301.56	403.58	16	1
4	248.53	322.91	16	0
5	422.48	507.3	16	0
2	269.16	310.27	17	1
3	310.39	396.36	17	1
4	245.29	318.71	17	0
5	422.48	505.91	17	0
2	269.24	316.99	18	1
3	315.74	401.44	18	1
4	243.67	328.41	18	0
5	423.18	511.46	18	0
2	268.91	309.52	19	1
3	320.82	388.07	19	1
4	239.79	323.88	19	0
5	423.87	511.46	19	0
2	269.36	308.35	20	1
3	327.5	384.86	20	1
5	420.4	510.77	20	0
2	267.75	305.11	21	1
3	329.64	375.23	21	1
5	414.85	511.46	21	0
2	268.39	309	22	1
3	331.25	378.71	22	1
2	270.01	313.2	23	1
3	333.66	380.31	23	1
2	269.74	306.86	24	1
3	330.71	366.13	24	1
2	271.07	311.84	25	1
3	329.91	370.95	25	1
2	271.9	300.22	26	1
3	329.34	355.22	26	1
2	272.9	305.37	27	1
3	326.73	355.83	27	1
2	271.07	297.23	28	1
3	324.52	345.78	28	1
2	270.57	299.72	29	1
3	327.53	346.18	29	1
2	269.91	304.53	30	1
3	324.92	352.21	30	1
2	266.75	303.7	31	1
3	321.91	350.8	31	1
2	265.76	297.73	32	1
2	265.09	306.53	33	1
2	264.76	303.7	34	1
2	264.76	303.37	35	1
2	263.1	292.74	36	1
2	263.6	304.2	37	1
2	263.26	310.18	38	1
2	264.09	314.67	39	1
2	262.6	314.33	40	1
2	260.61	303.54	41	1
2	259.94	310.85	42	1
2	257.78	314.5	43	1
2	259.94	315.99	44	1
2	259.11	308.52	45	1
2	256.29	318.15	46	1
2	252.97	306.36	47	1
2	249.81	310.18	48	1
2	247.98	303.54	49	1
2	246.82	301.55	50	1
2	245.83	298.39	51	1
2	242.67	307.03	52	1
2	240.34	297.56	53	1
2	239.02	297.89	54	1
2	238.19	302.87	55	1
2	237.52	302.54	56	1
2	236.36	296.4	57	1
2	236.36	292.91	58	1
2	235.86	303.37	59	1
2	232.37	297.56	60	1
2	232.04	309.52	61	1
2	228.39	305.03	62	1
2	228.22	311.01	63	1
2	225.23	314.67	64	1
2	222.24	318.82	65	1
2	224.9	312.84	66	1
2	222.91	308.02	67	1
2	222.41	311.18	68	1
2	219.75	319.65	69	1
2	218.09	312.01	70	1
2	216.76	314.83	71	1
2	208.27	310.85	72	1
